Timestamp,Model name,Paper title,Bibtex reference,citeCommand,Year Published,Generative model,Trained on code,Reference to Permissive code,Custom Github scrape,Dataset name,Programming languages,Description of dataset (copy from paper),Dataset available,Trained on file level code,Notes
12/22/2023 14:47:11,Codex,Evaluating Large Language Models Trained on Code,"@article{chen2021evaluating,   title={Evaluating large language models trained on code},   author={Chen, Mark and Tworek, Jerry and Jun, Heewoo and Yuan, Qiming and Pinto, Henrique Ponde de Oliveira and Kaplan, Jared and Edwards, Harri and Burda, Yuri and Joseph, Nicholas and Brockman, Greg and others},   journal={arXiv preprint arXiv:2107.03374},   year={2021} }",\cite{chen2021evaluating},2021,Yes,Yes,No,Yes,,Python,"Our training dataset was collected in May 2020 from 54 million public software repositories hosted on GitHub, containing 179 GB of unique Python files under 1 MB. We filtered
out files which were likely auto-generated, had average line
length greater than 100, had maximum line length greater
than 1000, or contained a small percentage of alphanumeric
characters. After filtering, our final dataset totaled 159 GB.",No,Yes,
12/22/2023 15:13:10,CodeT5,CodeT5: Identifier-aware Unified Pre-trained Encoder-Decoder Models for Code Understanding and Generation,"@inproceedings{wang2021codet5,     title = ""{C}ode{T}5: Identifier-aware Unified Pre-trained Encoder-Decoder Models for Code Understanding and Generation"",     author = ""Wang, Yue  and       Wang, Weishi  and       Joty, Shafiq  and       Hoi, Steven C.H."",     editor = ""Moens, Marie-Francine  and       Huang, Xuanjing  and       Specia, Lucia  and       Yih, Scott Wen-tau"",     booktitle = ""Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing"",     month = nov,     year = ""2021"",     address = ""Online and Punta Cana, Dominican Republic"",     publisher = ""Association for Computational Linguistics"",     url = ""https://aclanthology.org/2021.emnlp-main.685"",     doi = ""10.18653/v1/2021.emnlp-main.685"",     pages = ""8696--8708"",     abstract = ""Pre-trained models for Natural Languages (NL) like BERT and GPT have been recently shown to transfer well to Programming Languages (PL) and largely benefit a broad set of code-related tasks. Despite their success, most current methods either rely on an encoder-only (or decoder-only) pre-training that is suboptimal for generation (resp. understanding) tasks or process the code snippet in the same way as NL, neglecting the special characteristics of PL such as token types. We present CodeT5, a unified pre-trained encoder-decoder Transformer model that better leverages the code semantics conveyed from the developer-assigned identifiers. Our model employs a unified framework to seamlessly support both code understanding and generation tasks and allows for multi-task learning. Besides, we propose a novel identifier-aware pre-training task that enables the model to distinguish which code tokens are identifiers and to recover them when they are masked. Furthermore, we propose to exploit the user-written code comments with a bimodal dual generation task for better NL-PL alignment. Comprehensive experiments show that CodeT5 significantly outperforms prior methods on understanding tasks such as code defect detection and clone detection, and generation tasks across various directions including PL-NL, NL-PL, and PL-PL. Further analysis reveals that our model can better capture semantic information from code. Our code and pre-trained models are released at \url{https://github.com/salesforce/CodeT5}."", }",\cite{wang2021codet5},2021,Yes,Yes,No,No,"CodeSearchNet, BigQuery","Ruby, JS, Go, Python, Java, PHP, C, CSharp","We follow Feng et al. (2020) to employ CodeSearchNet (Husain et al., 2019) to pre-train CodeT5, which consists of six PLs with both unimodal and bimodal data. Apart from that, we additionally collect two datasets of C/CSharp from BigQuery to ensure that all downstream tasks have overlapped PLs with the pre-training data. In total, we employ  round 8.35 million instances for pretraining. Table 1 shows some basic statistics. To obtain the identifier labels from code, we leverage the tree-sitter to convert the PL into an abstract
syntax tree and then extract its node type information. We filter out reserved keywords for each PL from its identifier list. We observe that PLs have different identifier rates, where Go has the least rate of 19% and Ruby has the highest rate of 32%.",Yes,Yes,
12/22/2023 15:26:24,CodeGen,CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,"@inproceedings{ nijkamp2023codegen, title={CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis}, author={Erik Nijkamp and Bo Pang and Hiroaki Hayashi and Lifu Tu and Huan Wang and Yingbo Zhou and Silvio Savarese and Caiming Xiong}, booktitle={The Eleventh International Conference on Learning Representations }, year={2023}, url={https://openreview.net/forum?id=iaYcJKpY2B_} }",\cite{ nijkamp2023codegen},2023,Yes,Yes,Yes,No,"ThePile, BigQuery, BigPython","C, CPP, Go, Java, JS, Python","The family of CODEGEN models is trained sequentially on three datasets: THEPILE, BIGQUERY, and BIGPYTHON.
The natural language dataset THEPILE is an 825.18 GiB English text corpus collected by Gao et al. (2020) for language modeling (MIT license). The dataset is constructed from 22 diverse high-quality subsets, one of which is programming language data collected from GitHub repositories with >100 stars that constitute 7.6% of the dataset. Since the majority of THEPILE is English text, the resulting models are called as natural language CODEGEN models (CODEGEN-NL).
The multi-lingual dataset BIGQUERY is a subset of Google’s publicly available BigQuery dataset, which consists of code (under open-source license) in multiple programming languages. For the multilingual training, the following 6 programming languages are chosen: C, C++, Go, Java, JavaScript, and Python. Thus, we refer to models trained on the BIGQUERY as multi-lingual CODEGEN models (CODEGEN-MULTI).
The mono-lingual dataset BIGPYTHON contains a large amount of data in the programming language, Python. We have compiled public, non-personal information from GitHub consisting of permissively
licensed Python code in October 2021. Consequently, we refer to models trained on BIGPYTHON as mono-lingual CODEGEN models (CODEGEN-MONO).
The pre-processing follows: (1) filtering, (2) deduplication, (3) tokenization, (4) shuffling, and
(5) concatenation. For details on THEPILE, we refer to Gao et al. (2020). For BIGQUERY and
BIGPYTHON, we refer to Appendix A. Table 5 summarizes the statistics of the training corpora.",Yes,Yes,
12/22/2023 15:33:54,GPT-3,Language Models are Few-Shot Learners,"@article{brown2020language,   title={Language models are few-shot learners},   author={Brown, Tom and Mann, Benjamin and Ryder, Nick and Subbiah, Melanie and Kaplan, Jared D and Dhariwal, Prafulla and Neelakantan, Arvind and Shyam, Pranav and Sastry, Girish and Askell, Amanda and others},   journal={Advances in neural information processing systems},   volume={33},   pages={1877--1901},   year={2020} }",\cite{brown2020language},2020,Yes,No,,,,,,,,
12/22/2023 15:40:21,Incoder,INCODER: A GENERATIVE MODEL FOR CODE INFILLING AND SYNTHESIS,"@inproceedings{ fried2023incoder, title={InCoder: A Generative Model for Code Infilling and Synthesis}, author={Daniel Fried and Armen Aghajanyan and Jessy Lin and Sida Wang and Eric Wallace and Freda Shi and Ruiqi Zhong and Scott Yih and Luke Zettlemoyer and Mike Lewis}, booktitle={The Eleventh International Conference on Learning Representations }, year={2023}, url={https://openreview.net/forum?id=hQwb-lbM6EL} }",\cite{fried2023incoder},2023,Yes,Yes,Yes,Yes,,"Python + 28 others (JS, HTML, C, CPP, Java, Jupyter notebook, TS, Go, CSS, PHP, PLSQL, CSharp, ruby, SQL, shell, Objective-C, perl, scala, rust","To train our models, we collect a corpus of (1) public code with permissive, non-copyleft, opensource licenses from GitHub and GitLab and (2) StackOverflow questions, answers, and comments. Our primary focus in this paper is on the Python language, but we also include code files from 28 total languages and StackOverflow content from all available languages. We decontaminate our pre-training corpus by removing all datasets which we use in our evaluation experiments. See Section A.1 for details. Our final pre-training corpus contains a total of 159 GB of code, 52 GB of it in Python, and a total of 57 GB of content from StackOverflow. See Figure 3 for size by language.",No,Yes,
12/22/2023 15:45:49,T5,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,"@article{raffel2020exploring,   title={Exploring the limits of transfer learning with a unified text-to-text transformer},   author={Raffel, Colin and Shazeer, Noam and Roberts, Adam and Lee, Katherine and Narang, Sharan and Matena, Michael and Zhou, Yanqi and Li, Wei and Liu, Peter J},   journal={The Journal of Machine Learning Research},   volume={21},   number={1},   pages={5485--5551},   year={2020},   publisher={JMLRORG} }",\cite{raffel2020exploring},2020,Yes,No,,,,,,,,
12/22/2023 15:55:14,GPT-2,Language Models are Unsupervised Multitask Learners,"@inproceedings{Radford2019LanguageMA,   title={Language Models are Unsupervised Multitask Learners},   author={Alec Radford and Jeff Wu and Rewon Child and David Luan and Dario Amodei and Ilya Sutskever},   year={2019},   url={https://api.semanticscholar.org/CorpusID:160025533} }",\cite{Radford2019LanguageMA},2019,Yes,No,,,,,,,,
12/22/2023 16:13:37,PLBART,Unified Pre-training for Program Understanding and Generation,"@inproceedings{ahmad2021unified,   title={Unified Pre-training for Program Understanding and Generation},   author={Ahmad, Wasi and Chakraborty, Saikat and Ray, Baishakhi and Chang, Kai-Wei},   booktitle={Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies},   pages={2655--2668},   year={2021} }",\cite{ahmad2021unified},2021,Yes,Yes,,,,,,,No,
12/22/2023 16:16:20,BART,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension","@inproceedings{lewis-etal-2020-bart,     title = ""{BART}: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension"",     author = ""Lewis, Mike  and       Liu, Yinhan  and       Goyal, Naman  and       Ghazvininejad, Marjan  and       Mohamed, Abdelrahman  and       Levy, Omer  and       Stoyanov, Veselin  and       Zettlemoyer, Luke"",     editor = ""Jurafsky, Dan  and       Chai, Joyce  and       Schluter, Natalie  and       Tetreault, Joel"",     booktitle = ""Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics"",     month = jul,     year = ""2020"",     address = ""Online"",     publisher = ""Association for Computational Linguistics"",     url = ""https://aclanthology.org/2020.acl-main.703"",     doi = ""10.18653/v1/2020.acl-main.703"",     pages = ""7871--7880"",     abstract = ""We present BART, a denoising autoencoder for pretraining sequence-to-sequence models. BART is trained by (1) corrupting text with an arbitrary noising function, and (2) learning a model to reconstruct the original text. It uses a standard Tranformer-based neural machine translation architecture which, despite its simplicity, can be seen as generalizing BERT (due to the bidirectional encoder), GPT (with the left-to-right decoder), and other recent pretraining schemes. We evaluate a number of noising approaches, finding the best performance by both randomly shuffling the order of sentences and using a novel in-filling scheme, where spans of text are replaced with a single mask token. BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks. It matches the performance of RoBERTa on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks, with gains of up to 3.5 ROUGE. BART also provides a 1.1 BLEU increase over a back-translation system for machine translation, with only target language pretraining. We also replicate other pretraining schemes within the BART framework, to understand their effect on end-task performance."", }",\cite{lewis-etal-2020-bart},2020,Yes,No,,,,,,,,
12/22/2023 16:24:59,mT5,mT5: A Massively Multilingual Pre-trained Text-to-Text Transformer,"@inproceedings{xue2021mt5,   title={mT5: A Massively Multilingual Pre-trained Text-to-Text Transformer},   author={Xue, Linting and Constant, Noah and Roberts, Adam and Kale, Mihir and Al-Rfou, Rami and Siddhant, Aditya and Barua, Aditya and Raffel, Colin},   booktitle={Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies},   pages={483--498},   year={2021} }",\cite{xue2021mt5},2021,Yes,No,,,,,,,,
